  0       1       2         3         4          5         6
  0   7.204   9.528   8028.24  35055.36    2773.38  78164.74
  1   2.995   0.738     52.98    521.86     727.43    412.24
  2   8.224   1.443     -1.00   2294.13    3478.20    117.90
  3   9.960   3.180     -1.00   7088.18    8108.58    835.51
  4   2.899   3.430     37.75   4661.27     194.21     97.60
  5   9.646   9.386     -1.00  37013.56    8526.30  99999.92
  6   8.659   4.443     -1.00  10563.38    5712.86   1307.66
  7   9.504   5.886     -1.00  17053.91    7817.14   5103.63
  8   0.816   1.666      3.31   1004.41      67.34     55.25
  9   3.613   4.455    102.58   7817.19     474.22    347.20
 10   4.759   4.172    317.75   7459.00     722.74    212.85
 11   6.371   2.760   3604.90   4526.18    2818.30    735.03
 12   0.704   2.700      6.09   2564.41     616.05    494.27
 13   9.801   8.800     -1.00  32949.80    6889.03  49256.88
 14   7.076   0.020   5367.98    483.60    3143.49    569.49
 15   9.356   2.217     -1.00   4191.86    5480.77    232.01
 16   7.951   7.565     -1.00  24306.29    5274.26  24891.90
 17   5.119   5.242    666.68  11346.58    1240.84    942.01
 18   7.915   2.009   8147.02   3228.02    2983.71     58.21
 19   4.911   7.024    598.89  18827.68    1117.85   4898.17
 20   0.475   8.306      7.73  21970.42     578.24  17601.01
 21   0.011   2.457      3.03   1982.54     586.27    466.10
 22   8.915   1.514     -1.00   2670.81    5155.97    388.24
 23   2.233   9.955     49.86  33035.08     545.92  99999.40
 24   1.276   2.593      8.10   2475.36     356.77    280.89
 25   5.272   7.076   1318.33  19493.70    1859.89   8086.83
 26   2.036   7.028     52.41  17033.01    1091.47   7928.82
 27   4.214   6.938    566.68  18170.00    1728.61   8930.06
 28   4.741   3.579    454.98   5869.26    1263.19    508.47
 29   0.879   0.990      8.82    525.03     964.15    719.69
 30   9.633   6.425     -1.00  19702.76    8106.75   8543.05
 31   3.033   9.799    110.62  32790.78     626.34  91448.75
 32   6.544   4.696   5812.85  10350.15    3252.77   1585.89
 33   3.357   9.150    109.29  28952.97     344.72  34181.13
 34   7.888   8.131     -1.00  27368.17    4875.64  37906.62
 35   4.776   9.937    706.45  35387.09    1178.30  99999.26
 36   8.054   1.592   9300.73   2491.12    3152.93     66.69
 37   0.791   0.147      4.79     79.24     522.88    390.05
 38   4.255   4.613    362.69   8789.64    1344.00   1018.36
 39   3.811   2.624    103.77   3218.69     466.00    133.08
 40   8.446   0.032     -1.00    608.20    4172.88    318.33
 41   2.508   4.005     45.95   6123.81     754.99    648.17
 42   4.966   2.747    565.73   3937.07    1415.97    472.09
 43   3.316   6.947     94.82  17276.14     441.20   3524.12
 44   3.377   7.130    112.35  18208.33     555.45   4734.75
 45   4.129   9.470    579.19  31997.29    1586.91  99999.82
 46   4.293   6.316    231.46  15081.55     574.03   1696.55
 47   5.418   1.202   1105.10   1432.23    2060.95    674.44
 48   3.630   9.697    178.12  32646.10     586.30  73228.54
 49   2.809   5.371     50.54  10500.48     413.93    802.56
 50   9.433   1.023     -1.00   1981.13    5965.64    376.06
 51   4.352   2.953    306.44   4196.04    1200.08    515.43
 52   7.060   9.874     -1.00  37452.52    3468.26  99999.54
 53   5.522   5.340   1433.70  12053.93    1923.46   1597.17
 54   2.629   6.884     56.11  16591.10     566.18   4033.45
 55   1.932   7.272     18.73  17754.42      91.18   3738.10
 56   0.357   6.679      4.18  14134.65     261.18   2275.09
 57   5.812   6.041   2284.95  15122.65    2277.48   3249.38
 58   3.450   0.317     65.35    261.00     534.64    227.55
 59   4.230   6.764    376.57  17218.90    1202.33   4923.72
 60   8.134   2.578     -1.00   4759.27    5011.01    815.94
 61   3.892   4.067    176.47   6853.35     869.36    525.06
 62   2.759   5.060     87.21   9566.89    1104.69   1472.55
 63   8.409   0.169     -1.00    774.60    4794.27    576.16
 64   8.346   2.568     -1.00   4748.49    4773.53    584.77
 65   3.515   4.522    152.40   8118.22    1030.60    886.51
 66   9.070   7.645     -1.00  25635.23    6857.12  25839.57
 67   6.698   6.797   8598.23  19324.97    3575.22   9762.93
 68   3.456   4.014    135.67   6568.17    1003.50    714.64
 69   7.888   5.424     -1.00  13891.63    4578.79   2441.71
 70   3.963   8.035    365.99  23420.74    1303.23  20931.57
 71   7.392   6.608     -1.00  18802.08    3769.00   6121.48
 72   5.273   7.255    789.81  20178.35    1124.35   5530.82
 73   8.526   2.552     -1.00   4720.41    4579.11    396.25
 74   7.857   2.498     -1.00   4366.47    3793.33    443.33
 75   0.434   3.029      4.99   3103.69     645.61    536.39
 76   9.255   5.081     -1.00  13226.44    5962.43   1321.21
 77   7.538   1.951     -1.00   3161.72    3893.83    648.20
 78   2.995   3.099     80.95   4088.28     970.53    633.77
 79   0.481   6.565      9.86  13971.24     967.43   4436.61
 80   5.491   5.405   1844.42  12375.30    2311.80   2277.51
 81   1.234   2.276      5.71   1899.40     104.06     84.24
 82   2.154   8.755     48.99  25813.69     726.33  34337.48
 83   0.962   0.115      8.28    118.50     897.82    665.04
 84   0.334   8.175      4.77  21065.39     275.49  11103.51
 85   5.988   7.538   3028.23  22399.61    2402.18  14051.93
 86   4.004   3.406    202.27   5131.43     987.46    490.38
 87   2.099   3.370     24.11   4329.89     549.49    431.31
 88   1.430   4.386     11.20   6654.56     356.26    443.29
 89   1.081   2.210      9.89   1886.69     774.67    592.04
 90   5.625   2.107   1467.30   2905.95    2184.49    673.77
 91   7.039   6.539   8353.51  18195.57    3274.02   5260.09
 92   9.457   7.925     -1.00  27263.79    5938.12  16985.32
 93   3.108   9.427    121.31  30557.34     692.04  64213.10
 94   2.241   0.060     13.40     58.60     122.95     54.64
 95   4.748   3.000    505.07   4457.08    1450.59    572.12
 96   5.168   5.129   1249.94  11134.91    2076.12   1807.15
 97   0.193   9.436      7.40  28055.20     705.61  66436.55
 98   9.074   5.161     -1.00  13363.36    5176.42   1008.88
 99   2.139   0.971     21.26    600.92     605.89    405.06

